PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
14 204406 BLD,SFD - Detached,"219 FLORENCE AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-08-11,2014-10-15,2017-01-26,Closed,Construct new two storey single family dwelling (245.52m2) with intergal garage and finished basemnet (117m2) and basement walkout,Sfd-Detached,Sfd-Detached,1,0,"550,000",0,400.36
15 109159 BLD,SFD - Detached,"115 WARWOOD RD   Toronto, Ontario, Canada",Toronto,Canada,2015-01-27,2015-06-09,2017-10-31,Closed,Proposal to construct 2-storey single family dwelling with integral garage and new rear deck.,Vacant,Single Family Dwelling,1,0,"550,000",0,394
15 124452 BLD,SFD - Semi-Detached,"2 HYDE AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-03-05,2016-03-08,2017-03-29,Closed,Proposed new three-family dwelling    ,Single Family Dwelling,Three Family Dwelling,3,0,"550,000",0,273.6
15 146137 BLD,SFD - Detached,"23 FARR AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-04-24,2015-06-17,2017-10-20,Closed,Proposal to construct a 2-storey single family dwelling with front porch and rear concrete deck.,Vacant,Sfd-Deteched,1,0,"550,000",0,309.33
15 196519 BLD,SFD - Detached,"326 MAPLE LEAF DR   Toronto, Ontario, Canada",Toronto,Canada,2015-07-24,2015-08-12,2017-11-27,Closed,Construct a new two storey single family dwelling (354.24m2) with attached garage. Demolish existing dwelling,Sfd-Detached,Sfd-Detached,1,0,"550,000",0,354.24
15 197686 BLD,Townhouses,"67 HEATH ST W Toronto, Ontario, Canada",Toronto,Canada,2015-07-27,2015-10-15,2017-07-17,Closed,"PART A - Lead File - Proposal to construct a total of three 3 townhomes with finished basements.  SFD.  See 3 ZZC's, COA, OMB, BLD permits for PART B & PART C, and active demo files for 67 Heath St W (15 197666 DM) and 71 Heath St W (15 197675 DM).",Vacant,Sfd,1,0,"550,000",0,231.3
15 197700 BLD,Townhouses,"69 HEATH ST W Toronto, Ontario, Canada",Toronto,Canada,2015-07-27,2015-11-17,2017-07-17,Closed,"PART B - Proposal to construct a total of three 3 townhomes with finished basements.  SFD.  See 3 ZZC's, COA, OMB, BLD permits for PART A & PART C, and active demo files for 67 Heath St W (15 197666 DM) and 71 Heath St W (15 197675 DM).",Vacant,Sfd,1,0,"550,000",0,248.6
15 197704 BLD,Townhouses,"71 HEATH ST W Toronto, Ontario, Canada",Toronto,Canada,2015-07-27,2015-10-15,2017-07-17,Closed,"PART C - Proposal to construct a total of three 3 townhomes with finished basements.  SFD.  See 3 ZZC's, COA, OMB, BLD permits for PART A & PART B, and active demo files for 67 Heath St W (15 197666 DM) and 71 Heath St W (15 197675 DM).",Vacant,Sfd,1,0,"550,000",0,229.8
16 147488 BLD,SFD - Detached,"52 GLEN LONG AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-04-28,2016-05-17,2017-10-05,Closed,"Permit to demolish existing dwelling & construct new 2-storey dwelling with covered rear yard deck, covered entry, 2nd Floor balcony, & carport.",Sfd-Detached,Sfd-Detached,1,0,"550,000",0,258.9
16 155471 BLD,SFD - Detached,"281 RHODES AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-05-13,2016-06-06,2017-10-16,Closed,Proposal to demolish the existing single family dwelling and construct a new 2 storey single family dwelling.,Sfd,Sfd,1,0,"550,000",0,236.46
14 218971 BLD,SFD - Detached,"441 BROOKDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-09-09,2014-09-15,2018-10-09,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"550,000",0,297.5
14 222119 BLD,SFD - Detached,"155 CHURCH AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-09-15,2014-10-31,2018-04-12,Closed,Three dwelling with attached garage.,Sfd,Sfd,1,0,"550,000",0,313.37
14 222143 BLD,SFD - Detached,"155 CHURCH AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-09-15,2014-10-31,2018-04-12,Closed,Three storey dwelling with attached garage.,Sfd,Sfd,1,0,"550,000",0,313.37
15 141853 BLD,SFD - Detached,"252 NEWTON DR   Toronto, Ontario, Canada",Toronto,Canada,2015-04-16,2015-06-04,2018-02-06,Closed,New two storey dwelling with attached garage.,Sfd,Sfd,1,0,"550,000",0,375.341
15 151199 BLD,SFD - Detached,"15 TALWOOD DR   Toronto, Ontario, Canada",Toronto,Canada,2015-05-04,2015-09-21,2018-09-28,Closed,Proposed construction of a new two storey single family detached dwelling (293.2m2) with integral at grade garage and finished basement area (127.49m2),Sfd - Detached,Sfd - Detached,1,0,"550,000",0,293.2
15 218571 BLD,SFD - Detached,"29 LAILEY CRES   Toronto, Ontario, Canada",Toronto,Canada,2015-09-04,2015-09-21,2018-03-27,Closed,Proposal to construct a new 2-storey detached dwelling with finished basement and integral garage.,Sfd - Detached,Sfd - Detached,1,0,"550,000",0,422
15 224263 BLD,SFD - Detached,"58 AVONHURST RD   Toronto, Ontario, Canada",Toronto,Canada,2015-09-17,2015-10-27,2018-02-06,Closed,"Proposal to construct a new 2-storey single-family dwelling with rear deck, front porch, garage.",Sfd-Detached,Sfd-Detached,1,0,"550,000",0,322.7
16 111135 BLD,SFD - Detached,"76 LORRAINE DR   Toronto, Ontario, Canada",Toronto,Canada,2016-02-01,2017-03-06,2018-07-12,Closed,New two storey dwelling with integral garage,Sfd,Sfd,1,0,"550,000",0,373.45
16 121107 BLD,SFD - Detached,"90 PITFIELD RD   Toronto, Ontario, Canada",Toronto,Canada,2016-02-26,2016-04-13,2018-03-05,Closed,Proposal to construct a new detached single family dwelling with integral garage.,Sfd,Sfd,1,0,"550,000",0,323
16 140053 BLD,2 Unit - Detached,"448 OAKWOOD AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-04-13,2017-09-15,2018-10-05,Closed,Proposed demolition of existing 1 storey commercial building to be replaced by 3 storey 2 unit dwelling with finished basement.,Commercial Building,2 Unit Dwelling,2,0,"550,000",0,316.33
16 143579 B21,SFD - Detached,"85 KEELER BLVD   Toronto, Ontario, Canada",Toronto,Canada,2016-04-20,2016-11-23,2018-06-08,Closed,"MODEL # ""4003"" ELEVATION ""B""
construct new 2 storey house",Vacant,Single Family Dwelling,1,0,"550,000",0,311.68
17 119774 BLD,SFD - Detached,"63 WOODBURY RD   Toronto, Ontario, Canada",Toronto,Canada,2017-02-22,2017-03-08,2018-11-12,Closed,Proposal to demolish existing 1 storey dwelling to be replaced by new 2 storey dwelling with finished basement.,Single Family Dwelling,Single Family Dwelling,1,0,"550,000",0,241.54
17 134806 BLD,SFD - Detached,"431 MELROSE AVE   Toronto, Ontario, Canada",Toronto,Canada,2017-03-27,2017-04-13,2018-12-19,Closed,NEW 2-STOREY DETACHED SFD W/ AT GRADE GARAGE AND FINSIHED BASEMENT (85.94SQM),Sfd,Fd,1,0,"550,000",0,308.91
17 147107 BLD,SFD - Detached,"426 RUSTIC RD   Toronto, Ontario, Canada",Toronto,Canada,2017-04-21,2017-07-05,2018-11-01,Closed,New two storey dwelling with attached garage,Sfd,Sfd,1,0,"550,000",0,331.85
17 147258 BLD,SFD - Detached,"22 LOCKHEED BLVD   Toronto, Ontario, Canada",Toronto,Canada,2017-04-21,2017-06-21,2018-07-05,Closed,"Proposal to demolish existing bungalow and build new 2-storey brick veneer single-family dwelling, 296.35 square metres GFA, basement area 152 square metres.",Single-Family Dwelling,Single-Family Dwelling,1,0,"550,000",0,296.35
17 176040 BLD,SFD - Detached,"70 PRINCETON RD   Toronto, Ontario, Canada",Toronto,Canada,2017-06-08,2017-06-30,2018-05-08,Closed,Construct detached single family dwelling house.,Sfd,Sfd,1,0,"550,000",0,269.4
17 207286 BLD,SFD - Detached,"17 FARMCOTE RD   Toronto, Ontario, Canada",Toronto,Canada,2017-07-28,2017-08-15,2018-09-05,Closed,Proposal to demolish existing 1 storey SFD and construct a new 2 storey SFD with integral garage and finished basement.,Vacant,Sfd-Detached,1,0,"550,000",0,456.4
17 235773 BLD,SFD - Detached,"47 CASTLEWOOD RD   Toronto, Ontario, Canada",Toronto,Canada,2017-09-20,2017-10-20,2018-11-15,Closed,Proposal to construct a new 2 storey single family dwelling,Sfd - Detached,Sfd - Detached,1,0,"550,000",0,200.87
13 256654 BLD,SFD - Detached,"177 WATERLOO AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-10-25,2013-11-28,2015-04-08,Closed,Construction of a new two storey single family detached dwelling (342.18m2) with integral at grade garage and unfinished basement.,Sfd - Detcahed,Sfd - Detcahed,1,0,"547,488",0,342.18
14 180034 BLD,SFD - Detached,"220 CAMERON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-25,2014-07-18,2015-09-16,Closed,Two storey dwelling with attached garage,Sfd,Sfd,1,0,"547,200",0,307.041
12 261518 BLD,SFD - Detached,"92 KINGSDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-10-12,2012-12-05,2014-07-10,Closed,Two storey single family dwelling with integral at grade garage and finished basement.,Sfd,Sfd,1,0,"546,880",0,341.8
07 258209 BLD,SFD - Detached,"158 MUNRO BLVD   Toronto, Ontario, Canada",Toronto,Canada,2007-08-31,2007-09-11,2015-10-30,Closed,Two storey,Sfd,Sfd,1,0,"545,312",0,366.5
14 149885 BLD,SFD - Detached,"37 ROSLIN AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-05-01,2014-05-20,2015-06-04,Closed,Three storey detached single family dwelling with integral garage and finished basement,Vacant Land,Two Storey Detached Sfd,1,0,"545,000",0,340
08 176907 BLD,SFD - Detached,"155 UPPER CANADA DR   Toronto, Ontario, Canada",Toronto,Canada,2008-06-30,2008-07-24,2017-02-24,Closed,New 2 storey SFD.,Sfd,Sfd,1,0,"544,700",0,419.7
11 243709 BLD,SFD - Detached,"53 HEMFORD CRES   Toronto, Ontario, Canada",Toronto,Canada,2011-07-22,2011-08-17,2014-03-25,Closed,Two storey dwelling with two car garage at grade.,Sfd,Sfd,1,0,"544,600",0,389
16 145702 BLD,SFD - Detached,"52 UNSWORTH AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-04-25,2016-06-16,2018-10-11,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"544,600",0,272.3
13 231023 BLD,SFD - Detached,"419 EMPRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-09-05,2013-09-18,2016-12-06,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"544,000",0,340
14 219145 BLD,SFD - Detached,"129 CONNAUGHT AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-09-09,2014-10-01,2016-10-20,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"543,216",0,339.51
13 278778 BLD,SFD - Detached,"633 COLDSTREAM AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-17,2014-04-15,2015-11-02,Closed,Construct new two storey single family dwelling with integral garage and finished basement,Sfd,Sfd,1,0,"541,800",0,310
12 247317 BLD,SFD - Detached,"45 OLD ORCHARD GRV   Toronto, Ontario, Canada",Toronto,Canada,2012-09-14,2012-12-19,2014-06-16,Closed,Two storey single family dwelling with integral garage at grade and finished basement. ,Sfd,Sfd,1,0,"540,064",0,337.54
12 270565 BLD,SFD - Detached,"183 ELLERSLIE AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-10-30,2013-01-22,2014-05-07,Closed,Two storey with attached garage and finished basement,Sfd,Sfd,1,0,"540,000",0,447.478
13 167775 BLD,SFD - Detached,"255 CONNAUGHT AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-05-13,2013-06-03,2014-12-11,Closed,Two storey single family dwelling with integral at grade garage.,Sfd,Sfd,1,0,"540,000",0,369.4
13 225423 BLD,SFD - Detached,"39 FRANKLIN AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-08-23,2014-05-20,2015-11-25,Closed,Three storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"540,000",0,342.62
14 167695 BLD,SFD - Detached,"250 BYNG AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-04,2014-06-13,2016-04-21,Closed,Three  storey detached single family dwelling with integral garage.,Vacant Land,Two Storey Detached Sfd,1,0,"540,000",0,402.7
16 128992 BLD,SFD - Semi-Detached,"701 MARKHAM ST   Toronto, Ontario, Canada",Toronto,Canada,2016-03-17,2016-04-22,2018-12-20,Closed,Proposal to construct a new 3 storey SFD-semi detached dwelling with a basement walkout and detached garage.  See also 15 154994 ZZC and 15 206698 MV.,Vacant,Sfd-Semi,1,0,"540,000",0,177.97
16 129033 BLD,SFD - Semi-Detached,"703 MARKHAM ST   Toronto, Ontario, Canada",Toronto,Canada,2016-03-17,2016-04-22,2018-12-20,Closed,Proposal to construct a new 3 storey SFD-semi detached dwelling with a basement walkout and detached garage.  See also 15 154998 ZZC and 15 206702 MV.,Vacant,Sfd-Semi,1,0,"540,000",0,177.97
13 205866 BLD,SFD - Detached,"557 GLENGROVE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-07-17,2013-09-23,2014-07-28,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"538,816",0,302.76
08 182893 BLD,SFD - Detached,"7 SWIFTDALE PL   Toronto, Ontario, Canada",Toronto,Canada,2008-07-17,2008-08-12,2015-07-14,Closed,Proposed 2-storey dwelling - SFD,Sfd,Sfd,1,0,"537,668",0,377.7
17 155305 BLD,SFD - Detached,"551 DELORAINE AVE   Toronto, Ontario, Canada",Toronto,Canada,2017-05-06,2017-06-12,2018-11-12,Closed,DEMOLITION / NEW HOUSE 248.28m2/ PLUMBING / DRAIN / 98.75 SQUARE METERS OF FINISH BASEMENT,Sfd,Sfd,1,0,"537,215",0,329.59
08 217299 BLD,SFD - Detached,"59 ROBERTA DR   Toronto, Ontario, Canada",Toronto,Canada,2008-10-30,2008-12-01,2015-04-29,Closed,2 Storey Dwelling,Sfd,Sfd,0,0,"536,500",0,375.2
12 115326 BLD,SFD - Detached,"67 EMPRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-02-01,2012-05-02,2015-09-22,Closed,two storey single family dwelling with attached garage,Sfd,Sfd,1,0,"536,351",0,345.3
12 184405 BLD,SFD - Detached,"49 FAIRLAWN AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-05-31,2012-09-11,2014-09-19,Closed,Three storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"535,728",0,337.287
13 102832 BLD,SFD - Detached,"62 GRANGEMILL CRES   Toronto, Ontario, Canada",Toronto,Canada,2013-01-08,2013-04-12,2014-02-25,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"535,000",0,348
15 121034 BLD,SFD - Detached,"171 STIBBARD AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-02-24,2015-03-12,2017-11-09,Closed,Three storey dwelling with attached garage at grade.,Sfd,Sfd,1,0,"535,000",0,372.99
15 245205 BLD,SFD - Detached,"50 RAVENSCREST DR   Toronto, Ontario, Canada",Toronto,Canada,2015-10-30,2015-11-23,2017-11-29,Closed,Proposal to construct a new two storey single family dwelling with integral garage and finished basement.,Sfd,Sfd,1,0,"535,000",0,333
16 106017 BLD,SFD - Detached,"133 DUNCAIRN RD   Toronto, Ontario, Canada",Toronto,Canada,2016-01-19,2016-02-23,2018-01-29,Closed,Construct a new 2 storey detached SFD (288m2) with attached garage and  finished basement -(130.3m2) existing to be demolished,Sfd-Detached,Sfd-Detached,1,0,"535,000",0,288
15 157123 BLD,SFD - Detached,"103 SHELBORNE AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-05-14,2015-06-01,2017-03-02,Closed,Construct new two storey detached dwelling (304m2) with attached garage and finished basement (100m2),Sfd-Detached,Sfd-Detached,1,0,"534,000",0,304
14 112676 BLD,SFD - Detached,"11 BALLYRONAN RD   Toronto, Ontario, Canada",Toronto,Canada,2014-02-03,2014-04-29,2015-03-11,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"533,000",0,303.06
13 160077 BLD,SFD - Detached,"184 DUNBLAINE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-05-01,2013-09-19,2014-12-22,Closed,Two storey single family dwelling with integral at grade garage and finished basement.,Sfd,Sfd,1,0,"532,688",0,304.34
14 241272 BLD,SFD - Detached,"56 DORKING CRES   Toronto, Ontario, Canada",Toronto,Canada,2014-10-22,2015-03-12,2017-03-23,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"531,000",0,295.2
11 323312 BLD,SFD - Detached,"27 BEVDALE RD   Toronto, Ontario, Canada",Toronto,Canada,2011-12-08,2012-08-20,2014-04-29,Closed,Two storey single family dwelling with attached garage,Sfd,Sfd,1,0,"530,000",0,331.969
13 104089 BLD,SFD - Detached,"254 HADDINGTON AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-01-10,2013-02-28,2015-04-23,Closed,Two storey single family dwelling with attached garage,Sfd,Sfd,1,0,"530,000",0,385.55
13 119450 BLD,SFD - Detached,"204 CUMMER AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-02-13,2013-05-22,2015-11-05,Closed,Two storey single family dwelling with integral at grade garage and finished basement.,Sfd,Sfd,1,0,"530,000",0,334.202
15 132340 BLD,SFD - Detached,"481 ATLAS AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-03-25,2015-10-09,2017-09-07,Closed,"Proposal to construct new single family dettached dwelling with finished basement, front porch and rear deck.",Single Family Dwelling,Single Family Dwelling,1,0,"530,000",0,216
15 152572 BLD,SFD - Detached,"42 LURGAN DR   Toronto, Ontario, Canada",Toronto,Canada,2015-05-06,2015-07-31,2017-08-09,Closed,New one storey dwelling with attached garage.,Sfd,Sfd,1,0,"530,000",0,227.89
15 192644 BLD,SFD - Detached,"93 HARLOW CRES   Toronto, Ontario, Canada",Toronto,Canada,2015-07-17,2015-08-25,2017-01-04,Closed,To construct a new detached dwelling with an integral garage.,Sfd,Sfd,1,0,"530,000",0,326.28
11 300870 BLD,SFD - Detached,"471 ST GERMAIN AVE   Toronto, Ontario, Canada",Toronto,Canada,2011-10-28,2011-12-20,2018-04-16,Closed,Two storey dwelling with attached garage,Sfd,Sfd,1,0,"530,000",0,478.288
16 239090 BLD,SFD - Detached,"66 SNOWDON AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-10-18,2016-12-13,2018-06-25,Closed,Construct a new two storey SFD-Detached (235m2) with finished basment (80m2),Sfd-Detached,Sfd-Detached,1,0,"529,595",0,235
12 263888 BLD,SFD - Detached,"62 STAYNER AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-10-17,2012-11-13,2015-01-19,Closed,Two storey single family dwelling with integral at grade garage,Sfd,Sfd,1,0,"527,504",0,329.69
13 119605 BLD,SFD - Detached,"168 HORSHAM AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-02-13,2013-06-21,2014-08-05,Closed,Three storey single family dwelling with integral garage at grade - Part 1,Sfd,Sfd,1,0,"527,040",0,329.4
16 269288 BLD,SFD - Detached,"50 KENTON DR   Toronto, Ontario, Canada",Toronto,Canada,2016-12-21,2017-07-26,2018-01-05,Cancelled,Construct a new two storey SFD-Detached (262.64) with attached garage,Sfd-Detached,Sfd-Detached,1,0,"525,300",0,280.47
12 256931 BLD,SFD - Detached,"76 STUART AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-10-02,2012-11-15,2014-06-05,Closed,Two storey dwelling with attached garage,Sfd,Sfd,1,0,"525,000",0,309
13 105289 BLD,SFD - Detached,"203 BAYVIEW HEIGHTS DR   Toronto, Ontario, Canada",Toronto,Canada,2013-01-14,2013-08-29,2015-09-09,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"525,000",0,286.3
13 139101 BLD,SFD - Detached,"69 SHELBORNE AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-03-22,2013-05-09,2015-05-14,Closed,two storey single family dwelling with attached garage and finished basement.,Sfd,Sfd,1,0,"525,000",0,288
13 242907 BLD,SFD - Detached,"373 JOICEY BLVD   Toronto, Ontario, Canada",Toronto,Canada,2013-09-27,2013-10-09,2015-09-10,Closed,Two storey single family dwelling with attached garage at grade and finished basement,Sfd,Sfd,1,0,"525,000",0,390.01
13 272170 BLD,SFD - Detached,"2 CARIBOU RD   Toronto, Ontario, Canada",Toronto,Canada,2013-11-29,2014-05-06,2015-03-04,Closed,"Construct two storey dwelling with attached garage and finished basement
Demolition permit # 13-272164 DM",Sfd,Sfd,1,0,"525,000",0,317.37
14 152966 BLD,SFD - Detached,"62 MATTICE AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-05-07,2014-08-06,2015-12-08,Closed,Proposal to construct new two storey single family detached dwelling.,Vacant,Sfd-Detached,1,0,"525,000",0,321
08 218789 BLD,SFD - Detached,"92 BEECHWOOD AVE   Toronto, Ontario, Canada",Toronto,Canada,2008-11-04,2013-05-24,2016-04-19,Closed,Two storey dwelling with attached garage.,Sfd,Sfd,1,0,"525,000",0,404.59
